ic,n,MAP,CI95_l,CI95_u
1,5,0.6727417644450097,0.6481398778389948,0.6985135226504697
1,50,0.6897637438138716,0.6816734864250916,0.6986518487524027
1,100,0.6901258542925012,0.6844296918418907,0.6964836187948804
1,200,0.6929613883975922,0.6884779164953615,0.6972524223520234
2,5,0.8944797667491801,0.8678961958505342,0.919854134960543
2,50,0.9180518970639842,0.9090473851455736,0.9272759953645657
2,100,0.9140804372397449,0.9074860801208362,0.9202911700874137
2,200,0.9134332536406807,0.908852587293931,0.9179754239553617
