ic,n,MAP,CI95_l,CI95_u
1,5,0.9274147202871199,0.7719099341554868,1.1192825000922884
1,50,0.920981842676328,0.824988114032922,1.022626978172812
1,100,0.9831954609914723,0.8913967343263426,1.0638178220278747
1,200,0.9975958374522713,0.9089582513636781,1.0540212892425755
2,5,0.8776963533501081,0.7494919168135052,1.1649802331726224
2,50,1.0022977672781286,0.8908102708197484,1.1208026516244933
2,100,0.9933447306517637,0.8855510786153118,1.07208303318087
2,200,1.0422335139362147,0.9514720852386296,1.1116086919736388
